date,market,type,source_regions,price_grade_상,price_grade_중,trend_note,forecast,year
2020-12-21,대전,소매,"충남 금산, 전북 익산, 경남 진주, 하동, 사천, 대전광역시 등에서 주로 출하됨",1700.0,,출하기를 맞아 공급량이 증가하면서 가격의 내림세를 보임,향후 반입량과 거래량 모두 증가할 것으로 예상되어 가격의 보합세를 전망함,2020
2020-12-21,서울,중도매,"경남 산청·거창·진주, 전남 담양, 전북 김제·익산·남원, 충남 공주·논산 등지에서 주로 반입됨",32000.0,27000.0,"금실, 설향, 장희 등 다양한 품종이 반입되는 가운데 추위가 시작되고 반입량이 감소하여 오름세에 거래됨",당분간 추위가 지속될 것으로 연말 소비를 앞둔 주중 강보합세 전망,2020
2020-12-24,부산,소매,"경남 진주, 양산, 밀양 등에서 주로 반입됨",2200.0,1800.0,"최근 반입량은 소폭 증가하였으나, 연말을 맞아 소비수요가 증가하여 소폭 오름세에 거래됨",향후 출하량 증가 및 반입량 증가가 예상되어 약보합세 전망,2020
2020-12-28,서울,중도매,"경남 산청·거창·진주·함양·합천·고성·사천·하동, 전남 담양, 전북 남원·익산·김제, 충남 공주·논산·예산·보령·홍성, 경북 고령, 광주 북구 등지에서 출하됨",31200.0,26200.0,출하지역이 확대되고 반입량이 증가하여 내림세에 거래됨,주중 강추위가 예보되었으나 점차 출하량이 증가할 것으로 예상하며 약보합세 전망,2020
2020-12-29,대전,중도매,"충남 논산, 공주, 옥천, 경남 진주 등지에서 주로 출하됨",28000.0,24000.0,평년대비 정식이 지연되었으나 점차 하우스 재배 출하량이 증가하면서 가격 하락세 거래 중,"향후, 코로나19 확산 지속 등으로 소비 반등의 요소는 부족하며 출하물량 증가로 인하여 가격 하락세 전망",2020
2021-01-04,서울,중도매,"경남 산청·거창·함양·진주, 전남 담양·곡성, 전북 익산·남원 등지에서 반입됨",26800.0,21800.0,연휴로 시장 내 재고량이 증가하여 내림세로 거래됨,주중 추위가 예보된 가운데 반입 물량 감소가 예상되며 재고 소진시까지 보합세 전망,2021
2021-01-05,부산,소매,"경남 진주, 양산, 밀양 등에서 주로 반입됨",1600.0,1200.0,최근 출하지역 확대 및 반입량 증가로 약보합세,주중 강추위가 예보되어 있어 반입량 감소가 예상되어 강보합세 전망,2021
2021-01-06,대전,소매,"전북 익산, 경남 사천, 진주, 하동, 대전광역시 등에서 주로 출하됨",1700.0,,출하지 증가로 인한 출하 물량 증가로 인하여 가격의 내림세를 보임,향후 추위로 인한 생육 악화로 시장 내 반입량 감소가 예상되어 가격의 보합세를 전망함,2021
2021-01-07,광주,중도매,"경남 산청, 충남 논산, 전북 익산, 남원, 경남 진주 등지에서 주로 반입됨.",26200.0,22200.0,"학교방학과 코로나로 인한 소비는 감소하고 있으나, 강추위로 산지 생산량이 감소하면서 오름세에 거래됨.",향후에도 이번주 주말까지 강추위로 인한 산지 생산량이 감소가 예상되어 강보합세가 전망됨.,2021
2021-01-07,대전,중도매,"충남 논산, 금산 등지에서 주로 반입됨",25000.0,21000.0,"주로 설향이 출하되고 있으며, 금실/킹스베리 등 일부 품종 반입도 이루어지고 있으며 가격은 한파로 인한 출하지연 등으로 가격 상승세에 거래 중","코로나19로 외식수요가 감소하면서 딸기 소비도 줄었지만, 공급량이 조정되며 가격은 보합세 유지 전망",2021
2021-01-12,대전,중도매,"전북 완주, 충남 논산, 금산 등지에서 주로 반입됨",26000.0,22000.0,겨울철 대체과일의 공급이 제한적이며 코로나19 상황임에도 수요가 집중되어 가격 강보합세에 거래 중,"향후, 평년 추세를 반영했을 때 반입량은 지속적으로 증가할 것으로 예상되어 가격 하락세 전망",2021
2021-01-14,서울,중도매,"경남 산청·진주·함양·거창·하동, 전남 담양·곡성, 전북 남원·익산·김제, 충남 논산·공주·예산·홍성·보령·부여 등지에서 반입됨",30800.0,25800.0,출하지역이 늘고 상품성이 좋아지면서 오름세에 거래됨,향후 하우스 출하량 및 소비수요가 증가할 것으로 예상하며 명절까지 중상품 중심 강보합세 전망,2021
2021-01-18,대전,소매,"충남 금산, 전북 익산, 경남 하동, 사천, 진주, 대전광역시 등에서 주로 출하됨",1700.0,,기온하락으로 인한 재배 비용 증가로 가격의 오름세를 보임,향후 소비자의 수요가 증가할 것으로 예상되어 가격의 강보합세를 전망함,2021
2021-01-18,서울,중도매,"경남 진주·거창·사천·산청·밀양·하동, 전남 담양·곡성, 전북 익산·김제·남원·순창, 충남 공주·논산·홍성 등지에서 반입됨",28800.0,23800.0,출하지역이 확대되고 반입량이 증가하여 내림세로 거래됨,향후 산지 출하량이 증가할 것으로 예상하며 당분간 보합세 전망,2021
2021-01-20,대구,중도매,"경북 김천, 경남 합천 등의 지역에서 주로 반입됨.",26200.0,21000.0,"거리두기의 영향으로 인해 시장 내 거래량 침체되어있고, 과일류에 대한 수요가 특히 낮아 내림세에 거래됨.",당분간 수요와 공급에 큰 변동이 없을 것으로 예상되어 보합세 전망.,2021
